Chicken Peanut Curry,"West African inspired chicken peanut curry, with lime, coriander seed, onion, cilantro, mint, ginger, chili, peanuts, and chicken.","['Video', 'Dinner', 'African', 'Chicken', 'Curry', 'Peanut']",15 minutes,45 minutes,Serves 6-8,"['3 pounds boneless, skinless chicken pieces (or you can use bone-in for added flavor), cut into 1 1/2 inch wide chunks or strips', '2/3 cup all purpose flour', '4 tablespoons yellow curry powder', '1 1/2 teaspoons sea salt', '1/2 teaspoon freshly ground peppercorns', '1/3 cup extra virgin olive oil', '2 tablespoons fresh ginger, minced', '2 tablespoons garlic, minced', '2 serrano chili peppers, seeded, de-veined, minced', '4 cups chicken broth', '2/3 cup peanut butter (if using freshly ground peanuts, add 2 teaspoons of sugar)', '1 teaspoon ground coriander seeds', '8 green onions, chopped, greens included', '1/3 cup each finely chopped mint and cilantro', '3 tablespoons lime juice']","['Coat chicken pieces in seasoned flour:\xa0Rinse chicken and pat dry. In a large bowl, combine the flour, curry powder, salt and pepper. Toss the chicken pieces to coat.']",https://www.simplyrecipes.com/wp-content/uploads/2013/10/chicken-peanut-curry-vertical-a2-1600.jpg,Elise Bauer
Skillet Chermoula Chicken,"Chicken thighs with spicy chermoula sauce, a North African parsley and cilantro pesto.","['Dinner', '1-Pot', 'Quick and Easy', 'Skillet Recipe', 'African', 'Moroccan', 'Gluten-Free', 'Low Carb', 'Paleo', 'Chicken', 'Chicken Thigh']",10 minutes,30 minutes,Serves 4 to 6,"['6 bone-in, skin-on chicken thighs (about 2 pounds), trimmed of excess fat', '1 teaspoon salt', '1 tablespoon extra virgin olive oil', '1 1/2 teaspoons whole cumin seed (or 1 teaspoon ground)', '1/2 teaspoon whole coriander seed (or 1/4 teaspoon ground)', '4 cloves garlic', '1 1/2 cups medium packed parsley leaves', '1 1/2 cups medium packed cilantro leaves and tender stems', '1/2 teaspoon salt', '1/2 teaspoon paprika', '1 teaspoon lemon zest', '1/2 cup extra virgin olive oil', '2 tablespoons lemon juice']",['Salt chicken thighs on both sides and let rest while you prepare the sauce.'],https://www.simplyrecipes.com/wp-content/uploads/2016/12/skillet-chermoula-chicken-vertical-b-1200.jpg,Elise Bauer
Vegetable Shakshuka with Pesto,Summer Vegetable Shakshuka! Poached eggs in a rich tomato and vegetable sauce with pesto. Serve for brunch or light dinner.,"['Breakfast', 'Brunch', 'Dinner', 'African', 'Gluten-Free', 'Healthy', 'Vegetarian', 'Egg', 'Pesto', 'Tomato', 'Vegetables', 'Zucchini']",20 minutes,30 minutes,4 servings,"['4 plum tomatoes, cored and cut into 8 pieces', '1 medium beefsteak tomato, cored and cut into 8 pieces', '2 tablespoons olive oil', '1 bunch scallions, trimmed and thinly sliced', '1 medium clove garlic, chopped', '1/8 teaspoon black pepper', '1/8 teaspoon crushed red pepper', '1/2 teaspoon ground cumin', '1/2 teaspoon paprika', '1/4 cup water, or more if needed', '1 yellow pattypan squash, 1 medium summer squash, or 1/2 golden zucchini', '4 large eggs', '3/4 cup pesto, homemade or store-bought', 'Handful of fresh basil leaves, for garnish (optional)', 'Baguette or thick slices of bread, to serve', 'A blender or food processor']",['Blend the tomatoes: Blend the plum and beefsteak tomatoes in a blender or food processor until they are saucy (you should have about 3 cups).'],https://www.simplyrecipes.com/wp-content/uploads/2016/08/2016-08-24-Shakshuka-1.jpg,Sheryl Julian
Agua de Jamaica (Hibiscus Tea),"Agua de Jamaica (aka Hibiscus tea) is an infusion of dried hibiscus flowers. Popular at Mexican taquerias, this agua fresca is loaded with Vitamin C and can even lower blood pressure! ","['Drink', 'Favorite Summer', 'Mexican', 'Agua Fresca', 'Hibiscus', 'Tea']",10 minutes,25 minutes,Makes 2 quarts,"['2 quarts water', '3/4 to 1 cup sugar (depending on how sweet you would like it to be)', '1 cup dried hibiscus flowers', '1/2 cinnamon stick (optional)', 'A few thin slices ginger (optional)', 'Allspice berries (optional)', 'Lime juice (optional)', 'Orange or lime slices for garnish']","['Boil water with sugar and spices:\xa0Put 4 cups of the water and the sugar in a medium saucepan. Add cinnamon, ginger slices, and/or a few allspice berries if you would like. Heat until boiling and the sugar has dissolved.']",https://www.simplyrecipes.com/wp-content/uploads/2011/09/agua-de-jamaica-hibiscus-tea-vertical-b-1800.jpg,Elise Bauer
Seared Ahi Tuna," Ahi tuna, also known as yellowfin tuna, marinated in sesame oil, soy sauce, ginger, garlic, green onion, and lime juice, then pan seared.","['Cooking for Two', 'Dinner', ""Father's Day"", 'Lent', ""Valentine's Day"", 'Japanese', 'Gluten-Free', 'Healthy', 'Low Carb', 'Ahi Tuna', 'Fish', 'Seafood', 'Seared Tuna', 'Tuna']",5 minutes,5 minutes,2 servings,"['2 (6-8 ounce) ahi tuna steaks (3/4 of an inch thick)', '2 tablespoons dark sesame oil', '2 tablespoons soy sauce (or 2 teaspoons of wheat-free tamari for gluten-free option)', '1 tablespoon of grated fresh ginger', '1 clove garlic, minced', '1 green onion (scallion) thinly sliced (a few slices reserved for garnish)', '1 teaspoon lime juice']","['Marinate the tuna steaks: Mix the marinade ingredients together and coat the tuna steaks with the marinade, cover tightly, and refrigerate for at least an hour.']",https://www.simplyrecipes.com/wp-content/uploads/2006/01/seared-ahi-tuna-600.jpg,Elise Bauer
Seared Tuna with Avocado,"Sushi-grade tuna steaks, pan seared, served with slices of avocado and a ginger, soy, cilantro, lime, garlic sauce.","['Dinner', 'Lent', '1-Pot', 'Quick and Easy', 'Gluten-Free', 'Healthy', 'Low Carb', 'Ahi Tuna', 'Avocado', 'Fish', 'Seafood', 'Seared Tuna', 'Tuna']",10 minutes,6 minutes,Serves 4,"['1/2 cup chopped fresh cilantro leaves', '2 jalapeño chiles, seeded, de-ribbed, minced (if very hot, use only 1 chile)', '2 tablespoons of peeled and minced fresh ginger', '4 garlic cloves, minced', '4 tablespoons freshly squeezed lime juice (from 2 to 4 limes, depending on how juicy your limes are)', '1/3 cup soy sauce (use gluten-free soy sauce if you need to avoid gluten)', '1-2 tablespoons sugar', 'Salt and freshly ground black pepper', '1 teaspoon dark sesame oil', '1/4 cup extra-virgin olive oil', '2 tablespoons canola oil or extra virgin olive oil', '4 (6 ounce) blocks sashimi-quality tuna', '2 ripe avocados, halved, pitted, peeled and sliced']","['Make the sauce: In a bowl, combine the cilantro, jalapeño, ginger, garlic, lime juice, soy sauce, sugar, salt, sesame oil and olive oil. If you want, you can purée the sauce in a blender or food processor.']",https://www.simplyrecipes.com/wp-content/uploads/2006/03/seared-tuna-avocado-horiz-c2-1800.jpg,Elise Bauer
Air Fryer Crispy Cauliflower,"Crispy cauliflower for the win, thanks to your air fryer! Make the cauliflower even tastier and crispier with spices, a little egg, and a light coating of breadcrumbs. Perfect as an appetizer or a side dish.","['Family-Friendly', 'Appetizer', 'Side Dish', 'Snack', 'Favorite Fall', 'Game Day', 'Holiday', 'Air Fryer', 'Kid-friendly', 'Quick and Easy', 'Healthy', 'Vegetarian', 'Blue Cheese', 'Cauliflower', 'Vegetables']",5 minutes,12 minutes,Serves 6,"['1/4 cup Greek yogurt', '1/4 cup mayonnaise', '1/4 cup crumbled blue cheese', 'Pinch of ground black pepper', 'Dash of hot sauce', '1 head cauliflower', '1 teaspoon kosher salt', '1/2 teaspoon chili powder', '1/2 teaspoon garlic powder', '2 large eggs + 1/4 cup water', '1 cup breadcrumbs', 'Nonstick spray, for air fryer']",['Make the blue cheese dip: Stir together ingredients in a medium bowl. Keep in fridge until needed.'],https://www.simplyrecipes.com/wp-content/uploads/2020/02/Crispy-Cauliflower-Bites-LEAD-4.jpg,Nick Evans
Air Fryer Tostones,"Salty, crispy tostones get an update in the air fryer! Skip the greasy pan-fried method, and instead, toss them in a little oil and double “fry” them in your air fryer. Serve them with a simple, but tasty mayo ketchup sauce. ","['Appetizer', 'Snack', 'Game Day', 'Holiday', 'Super Bowl', 'Air Fryer', 'Puerto Rican', 'Vegetarian', 'Plantain']",20 minutes,25 minutes,About 20 Tostones,"['1 cup mayonnaise', '1/4 cup ketchup', '1/4 teaspoon garlic powder', '3 green plantains', '4 cups cold water', '1 tablespoon kosher salt', '3 tablespoons neutral cooking oil (vegetable, peanut, or coconut oil)', 'coarse salt for sprinkling']","['Prepare dipping sauce: Whisk together the mayonnaise, ketchup, and garlic powder. Store covered in the refrigerator until ready to serve. You can do this up to 48 hours in advance.']",https://www.simplyrecipes.com/wp-content/uploads/2019/12/air-fryer-tostones-lead-1.jpg,Marta Rivera
Air Fryer Bacon-Wrapped Figs,"Looking for a fantastic holiday party appetizer that everyone will love? Try these Bacon-Wrapped Figs, cooked in an air fryer. Easy to make and totally delicious.","['Appetizer', 'Air Fryer', 'Make-ahead', 'Quick and Easy', 'Gluten-Free', 'Bacon', 'Fig', 'Pork']",10 minutes,10 minutes,12 bacon-wrapped figs,"['12 dried Turkish or mission figs', '6 strips regular center-cut bacon (not thick cut)', 'Goat cheese or blue cheese for stuffing, optional', 'Salted, roasted almonds for stuffing, optional', 'Honey, for serving', 'Nonstick spray, for air fryer']","['Reconstitute the figs: Add the dried figs to a bowl filled with steaming hot water. Let them sit for 20 minutes to reconstitute. Drain the figs and cut off the stems. Cut a small slit in each fig and spoon in a little blue cheese or goat cheese, or half an almond, if desired. You could also do a mix of fillings.']",https://www.simplyrecipes.com/wp-content/uploads/2019/10/airfryer-bacon-figs-lead-11.jpg,Nick Evans
Air Fryer Avocado Fries,"Perfectly crispy on the outside with a creamy inside, these Air Fryer Avocado Fries are terrific served alongside a simple spicy ranch dip. ","['Side Dish', 'Snack', 'Air Fryer', 'Quick and Easy', 'Vegetarian', 'Avocado']",15 minutes,18 minutes,About 30 fries,"['3 slightly under-ripe avocados', '1 cup panko breadcrumbs', '1/2 cup grated parmesan cheese', '1/2 teaspoon black pepper', '2 large eggs, whisked', 'Nonstick spray for air fryer', 'Coarse salt, optional', 'Fresh lime juice, optional', '1/2 cup ranch dressing, store-bought or homemade', '2 tablespoons sriracha']","['Slice the avocados: Cut the avocados in half and remove the pits. Use a large spoon to scoop out each avocado half in one piece. Slice each half into 5 slices, lengthwise.']",https://www.simplyrecipes.com/wp-content/uploads/2019/10/Air-Fryer-Avocado-LEAD-1.jpg,Nick Evans
Air Fryer Crab Rangoon,"These Air Fryer Crab Rangoon—wontons made with cream cheese and crab—are super crispy, delicious, and easy to make at home. You may never order takeout wontons again!","['Appetizer', 'Snack', 'Air Fryer', 'Restaurant Favorite', 'Chinese', 'Cheese', 'Crab', 'Cream Cheese', 'Seafood']",15 minutes,25 minutes,About 27-30 wontons,"['30 square wonton wrappers', '8 ounces cream cheese, at room temperature', '4 ounces lump crab meat or imitation crab', '2 tablespoons minced scallions', '2 teaspoons soy sauce', 'Nonstick spray for air fryer', '1/4 cup soy sauce', '1 tablespoon sesame oil', '1 tablespoon rice wine vinegar', 'Sesame seeds, for garnish', 'Red pepper flakes, for garnish']","['Make the filling: In a small bowl, stir together cream cheese, crab, scallion, and soy sauce. Mix well so the filling is a single consistency, and the crab is evenly distributed.']",https://www.simplyrecipes.com/wp-content/uploads/2019/08/air-fryer-wontons-lead-5b.jpg,Nick Evans
Air Fryer Mozzarella Sticks,"Mozzarella sticks in the air fryer! We figured out the secret! They are delicious, not hard at all to make, and so much better than their freezer section counterparts. ","['Appetizer', 'Snack', 'Air Fryer', 'Freezer-friendly', 'Kid-friendly', 'Vegetarian', 'Cheese', 'Mozzarella']",5 minutes,8 minutes,8 mozzarella sticks,"['1 large egg', '1 teaspoon Italian seasoning', '1/2 teaspoon salt', '1 cup panko breadcrumbs', '8 whole milk (or low-fat) mozzarella sticks']","['Do the prep work: Line a rimmed baking sheet with wax paper. Lightly beat the egg in a wide, shallow bowl.']",https://www.simplyrecipes.com/wp-content/uploads/2019/07/mozzerella_airfryer_hero0009.jpg,Carrie Havranek
Air Fryer Falafel,"Falafel made in the air fryer is crunchy on the outside and soft in the middle. Stuff them in a pita packed with veggies and tahini sauce for an easy, quick meal!","['Sandwich', 'Air Fryer', 'Make-ahead', 'Quick and Easy', 'Middle Eastern', 'Healthy', 'Vegetarian', 'Chickpea', 'Pita Bread', 'Tahini', 'Vegetables']",10 minutes,14 minutes,25 to 30 falafel,"['1/2 cup tahini (I like Joyva)', '1/4 cup Greek yogurt', '1/2 lemon, juice only', '2 tablespoons olive oil', '1/4 to 1/2 cup hot water', '2 (15-ounce) cans chickpeas, rinsed and drained', '1/4 cup fresh parsley', '1/4 cup cilantro', '2 cloves garlic', '1 large shallot, chopped', '3 tablespoons all-purpose flour', '2 tablespoons sesame seeds', '2 teaspoons ground cumin', '1 teaspoon paprika', '1/2 lemon, juice only', '1 teaspoon salt', 'Spray olive oil, for cooking', '6 pita breads', 'Fresh lettuce', '1 large tomato, sliced thin', '1/2 red onion, sliced thin', '1 cucumber, sliced thin']","['Make the tahini sauce: In a medium bowl, stir together tahini, yogurt, lemon juice, and olive oil. The mixture will be very thick to start. Thin it out with hot water until it’s easily spreadable. You’ll have to slowly add 1/4 to 1/2 cup of hot water to get it to the right consistency.']",https://www.simplyrecipes.com/wp-content/uploads/2019/06/Air-Fryer-Falafel-Lead0004.jpg,Nick Evans
Air Fryer Chinese Egg Rolls,"Make crispy, crunchy Chinese egg rolls in the air fryer in the fraction of the time it would take you to call for delivery or pan fry it. Chinese takeout happens at home! ","['Appetizer', 'Snack', 'Air Fryer', 'Quick and Easy', 'Restaurant Favorite', 'Chinese', 'Pork', 'Vegetables']",20 minutes,25 minutes,12 egg rolls,"['1 tablespoon olive oil', '1 pound ground pork or chicken', '1 clove garlic, minced', '1 tablespoon grated fresh ginger', '1 medium carrot, shredded', '3 scallions, chopped', '3 cups shredded green cabbage', '1 tablespoon soy sauce', '1 tablespoon rice wine vinegar', '12 egg roll wrappers', 'Oil, for brushing', 'Duck sauce', 'Plum sauce', 'Soy sauce']","['Cook the filling: In a large skillet over medium heat, add the olive oil along with the ground pork or chicken. Break apart the meat with a spatula or wooden spoon as it cooks. Cook until the meat is cooked through, 6 to 8 minutes.']",https://www.simplyrecipes.com/wp-content/uploads/2019/06/Air-Fryer-Egg-Rolls-vert1.jpg,Nick Evans
Air Fryer Fried Chicken,"Yes! Fried chicken in the air fryer is totally possible! It's crispy, juicy, and delicious. If you're craving a fried chicken with a little less fat, give this a try!","['Dinner', 'Air Fryer', 'Chicken', 'Fried Chicken']",15 minutes,45 minutes,10 pieces of fried chicken,"['1 4-pound fryer chicken, cut into 10 pieces (2 breasts cut in half, 2 wings, 2 legs, 2 thighs)', '1 teaspoon kosher salt', '1 teaspoon ground black pepper', '2 cups buttermilk', '2 cups all-purpose flour', '1 tablespoon seasoned salt', '1 teaspoon kosher salt', '1 teaspoon ground black pepper', '1 tablespoon garlic powder', '1 tablespoon paprika', 'Spray olive oil for cooking']",['Marinate the chicken: Season the chicken well with salt and pepper and then add it to a bowl with buttermilk. Chicken pieces should be covered with the buttermilk. Let it sit for at least an hour or up to overnight.'],https://www.simplyrecipes.com/wp-content/uploads/2019/05/Air-Fryer-Chicken-LEAD-2.jpg,Nick Evans
Crispy Air Fryer Chickpeas,"These Crispy Air Fryer Chickpeas are made for last-minute holiday guest appearances. They're quick to make and are best served as soon as they're made. Season them up however you like and in ten minutes you'll have a crunchy, savory snack ready to go.","['Appetizer', 'Snack', 'Air Fryer', 'Budget', 'Pantry Meal', 'Quick and Easy', 'Vegan', 'Vegetarian', 'Bean', 'Chickpea', 'Garbanzo Bean']",5 minutes,10 minutes,2 cups; 2 to 4 for snacking,"['1 (15-ounce) can chickpeas, drained and rinsed', '1 tablespoon canola or vegetable oil', '2 teaspoons fresh thyme, minced', '1 teaspoon za’atar seasoning', '1/2 teaspoon sea salt', '1/4 teaspoon cracked black pepper', '1/2 teaspoon sea salt', '1/2 teaspoon chili powder', '1/2 teaspoon paprika', '1/4 teaspoon cayenne', '1 teaspoon Herbs de Provence', '1/2 teaspoon sea salt', '1/4 teaspoon freshly cracked black pepper', '1 teaspoon lemon zest', '1 teaspoon finely grated Parmesan or Pecorino Romano cheese', '1 teaspoon Italian seasoning or equal parts oregano, thyme, basil, and marjoram', '1/2 teaspoon sea salt', '1/4 teaspoon freshly cracked black pepper']","[""Preheat the air fryer to 390°F for 10 minutes, or according to the manufacturer's instructions.""]",https://www.simplyrecipes.com/wp-content/uploads/2018/10/Air-Fryer-Chickpeas-LEAD-VERTICAL.jpg,Carrie Havranek
